,Num_Topics,Coherence_Score,Perplexity
0,1,0.35034741246523166,-7.363397449776348
1,2,0.42989857365399625,-7.4412825925828185
2,3,0.4356074383452965,-7.502224499293076
3,4,0.5303089492420596,-7.487105377642593
4,5,0.4200647939305447,-7.574008464792799
5,6,0.45732509454494,-7.5561722896624355
6,7,0.47569743952200294,-7.567473168822386
7,8,0.4310502854743252,-7.60698525966449
8,9,0.4243316666466019,-7.639825284056611
9,10,0.39618917620384725,-7.676064499839525
10,11,0.41994679392453627,-7.658814569545568
11,12,0.3909831118478182,-7.693604565572238
12,13,0.3993278790280073,-7.6895274963842075
13,14,0.4062453928093403,-7.724022458906125
14,15,0.42179873046036104,-7.702198027183736
15,16,0.4213829085244588,-7.712212776720303
16,17,0.4085109200062422,-7.741965858521626
17,18,0.40602121795643886,-7.737449725474139
18,19,0.3983583535614718,-7.771907263613599
19,20,0.4027041724975932,-7.820635680681904
20,21,0.37322685540770195,-7.777691683170844
21,22,0.377067122530704,-7.789477002462483
22,23,0.39383776372636,-7.810299561895678
23,24,0.38043731500094635,-7.794454579260269
24,25,0.3853123776136102,-7.815041297588553
25,26,0.391977847404472,-7.830519068472823
26,27,0.40580262533798145,-7.839104996409977
27,28,0.37338790032395786,-7.879939321871166
28,29,0.40766751189641287,-7.850653699430065
29,30,0.39072810910516403,-7.859521548966908
30,31,0.4151812940943054,-7.866764587965246
31,32,0.38598726877569906,-7.913174496926772
32,33,0.37772171940813437,-7.909789812199801
33,34,0.38276038189779704,-7.872649203652717
34,35,0.3842456163519696,-7.927023210092913
35,36,0.39424737032105867,-7.949713389113587
36,37,0.3736950368673102,-7.942185460917797
37,38,0.3992598990508787,-7.973471748097868
38,39,0.3855348667867138,-7.969098966259693
