Address,place_id,Amenities
"Papaverweg 37, 1032 KK Amsterdam",ChIJn8hFfqcJxkcR-3YplNNVbTQ,"post_box, post_box, fast_food, post_box, recycling, recycling, bench, cafe, cafe, fast_food, archive, restaurant, social_facility, place_of_worship, doctors, bar, drinking_water, drinking_water, restaurant, restaurant, bench, bench, restaurant, restaurant, bench, bench, bench"
"Tt. Vasumweg 32, 1033 SC Amsterdam",ChIJAbBoy20JxkcRYq_mBgst0sI,"HTTPSConnectionPool(host='nominatim.openstreetmap.org', port=443): Max retries exceeded with url: /search?q=Tt.+Vasumweg+32%2C+1033+SC+Amsterdam&format=json&limit=1 (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='nominatim.openstreetmap.org', port=443): Read timed out. (read timeout=1)""))"
"Benjamin Brittenstraat 13, 1082 ML Amsterdam",ChIJXyha_toLxkcRLy1a5Nf1gnw,"cafe, parking, bank, bicycle_parking, bicycle_parking, bicycle_parking, bicycle_parking, restaurant, post_box, post_box, restaurant, parking_entrance, bicycle_parking, parking_entrance, fast_food, college, restaurant, cafe, dentist, clinic, cafe, ice_cream, fast_food, bench, bench, bench, vending_machine, fast_food, restaurant, restaurant, bank, restaurant, bicycle_rental, fast_food, restaurant, bar, cafe, restaurant, restaurant, arts_centre, restaurant, cafe, cafe, cafe, taxi, motorcycle_parking, cafe, cafe, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, waste_basket, waste_basket, bench, bench, bench, bench, bench, bench, waste_basket, waste_basket, toilets, bench, bench, cafe, cafe, restaurant, kindergarten, food_court, cafe, bicycle_rental, bicycle_rental, charging_station, bicycle_rental, restaurant, cafe, fast_food, restaurant, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, shelter, shelter, shelter, vending_machine, vending_machine, vending_machine, vending_machine, cafe, restaurant, bar, drinking_water, restaurant, cafe, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, restaurant, kindergarten, drinking_water, parking_entrance, parking_entrance, parking, restaurant, university, courthouse, bench, bench, bench, bench, atm, drinking_water, university, college, college, parking_entrance, cafe, doctors, pharmacy, restaurant, fast_food, bicycle_parking, fountain, parking_entrance"
"Haringbuisdijk 643, 1086 VA Amsterdam",ChIJY2lvZ1APxkcRlPRWL3CNz2w,"parking_entrance, recycling, recycling, fast_food, community_centre, dentist, childcare, school, charging_station, charging_station, drinking_water, drinking_water, bench, bench, kindergarten, bench, bench, parking_entrance, charging_station, charging_station, bench, bench, bench, recycling, recycling, recycling, music_school, doctors, waste_basket, recycling, recycling, recycling, waste_disposal, waste_disposal, recycling, waste_disposal, waste_disposal, recycling, recycling, recycling, waste_disposal, recycling, recycling, waste_disposal, waste_disposal, waste_disposal, waste_disposal, recycling, recycling, waste_basket, waste_basket, recycling, waste_disposal, waste_disposal, waste_basket, waste_basket, waste_disposal, recycling, recycling"
"James Wattstraat 77-K, 1097 DL Amsterdam",ChIJ_UrCbsMJxkcRgerbh7cD-AY,"fast_food, post_box, restaurant, fast_food, post_box, recycling, recycling, recycling, recycling, police, cafe, fast_food, restaurant, bar, fast_food, fast_food, fuel, fire_station, bicycle_parking, parking, bicycle_parking, recycling, toilets, lockers, cafe, bicycle_parking, bicycle_parking, bicycle_rental, parking_entrance, parking_entrance, bench, bench, bench, vending_machine, vending_machine, bench, bench, bench, bench, bench, piano, toilets, drinking_water, charging_station, drinking_water, drinking_water, bench, restaurant, bench, bench, bench, bench, drinking_water, bench, bench, bench, bench, bench, public_bookcase, bench, bench, public_bookcase, clock, clock, clock, clock, waste_basket, post_box, public_bookcase, restaurant, vending_machine"
"Pedro de Medinalaan 1, 1086 XK Amsterdam",ChIJCTLUdMoOxkcRld1kE-4cKsU,"parking_entrance, recycling, recycling, fast_food, theatre, restaurant, dentist, childcare, school, charging_station, charging_station, drinking_water, bench, bench, bench, bench, bench, parking_entrance, charging_station, charging_station, recycling, recycling, recycling, music_school, public_bookcase, doctors, waste_disposal, waste_disposal, recycling, recycling, recycling"
"Govert Flinckstraat 309 H, 1074 CA Amsterdam",ChIJX_a1lJEJxkcREs1M-NnIszA,"post_box, recycling, pub, restaurant, atm, pub, atm, bicycle_parking, drinking_water, restaurant, fast_food, post_box, parking, pub, taxi, cafe, post_office, restaurant, atm, drinking_water, restaurant, cafe, restaurant, restaurant, restaurant, restaurant, bicycle_rental, bench, bench, bench, bench, bench, bench, restaurant, pub, pub, bar, restaurant, restaurant, restaurant, restaurant, cafe, restaurant, pub, bar, place_of_worship, cafe, restaurant, car_rental, fast_food, cafe, restaurant, restaurant, pub, pub, fast_food, bench, fast_food, fast_food, restaurant, fast_food, fast_food, fast_food, place_of_worship, recycling, recycling, recycling, recycling, recycling, place_of_worship, bench, bench, bench, bench, bar, restaurant, restaurant, pub, restaurant, childcare, restaurant, restaurant, bicycle_rental, doctors, restaurant, restaurant, restaurant, social_facility, fast_food, fast_food, fast_food, bar, fast_food, cafe, restaurant, restaurant, restaurant, cafe, restaurant, childcare, restaurant, restaurant, kindergarten, restaurant, cafe, restaurant, cafe, restaurant, restaurant, vending_machine, vending_machine, charging_station, waste_basket, bench, bench, bench, vending_machine, vending_machine, drinking_water, charging_station, bench, waste_basket, bench, bench, waste_basket, bench, bench, waste_basket, bench, bench, bench, waste_basket, bench, bench, waste_basket, bicycle_parking, bench, waste_basket, bicycle_parking, bench, waste_basket, bicycle_parking, waste_disposal, waste_basket, bench, bench, bench, bench, vending_machine, bench, bench, waste_basket, waste_basket, bench, bench, waste_basket, bench, waste_basket, vending_machine, post_box, bicycle_parking, fountain, restaurant, bench, bench, restaurant, restaurant, cafe, bench, bench, bench, brothel, cafe, cafe, restaurant, restaurant, restaurant, doctors, bench, bench, bench, bench, bench, bench, bench, bench, bench, charging_station, charging_station, charging_station, charging_station, community_centre, restaurant, bicycle_parking, bench, bench, pub, community_centre, restaurant, bench, bar, bench, bench, restaurant, drinking_water, drinking_water, drinking_water, drinking_water, marketplace, bench, fast_food, cafe, restaurant, restaurant, drinking_water, restaurant, atm, bicycle_repair_station, parking_entrance, bench, bench, restaurant, fast_food, bar, restaurant, fast_food, post_office, bench, bench, bicycle_parking, clock, clock, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, public_bookcase, clock, clock, waste_disposal, waste_disposal, waste_disposal, waste_disposal, restaurant, vending_machine, bicycle_parking, bicycle_parking, bicycle_parking, waste_basket, public_bookcase, public_bookcase, public_bookcase, cafe, public_bookcase, bench, bench, bench, bench, bench, restaurant"
1506 CK Zaandam,ChIJKfKTkZT9xUcREAv0PJoiho4,"parking, fuel, bicycle_parking, parking, townhall, cafe, pharmacy, fast_food, cinema, bank, restaurant, fuel, fuel, cafe, restaurant, fast_food, cafe, fire_station, waste_disposal, waste_disposal, bicycle_parking, bicycle_parking, bench, bench, waste_disposal, waste_disposal, waste_basket, recycling, recycling, recycling, recycling, recycling, bench, waste_basket, post_box, recycling, recycling, recycling, recycling, recycling, recycling, bicycle_rental, cafe, fast_food, restaurant, restaurant, bench, bench, shelter, shelter, bench, bench, bench, bench, bench, bench, bench, bench, vending_machine, vending_machine, parking, waste_disposal, waste_disposal, waste_disposal, recycling, fast_food, bicycle_parking, restaurant, marketplace, recycling, taxi, clock, drinking_water, toilets, drinking_water, restaurant, bus_station, doctors, fast_food, fast_food, cafe, parking_entrance, clock, archive, waste_basket, bench, playground, balance_beam"
"Van Vollenhovenstraat 5g, 3016 BE Rotterdam",ChIJ5_ZVzPwzxEcRnORjwSzG0fU,"restaurant, parking_entrance, ferry_terminal, restaurant, restaurant, restaurant, restaurant, taxi, cafe, restaurant, place_of_worship, restaurant, restaurant, parking, restaurant, restaurant, restaurant, restaurant, cafe, restaurant, clinic, cafe, bar, restaurant, restaurant, restaurant, dentist, restaurant, restaurant, restaurant, restaurant, restaurant, restaurant, restaurant, ice_cream, stripclub, stripclub, cafe, restaurant, fast_food, restaurant, restaurant, stripclub, restaurant, fast_food, restaurant, bar, car_sharing, bench, post_box, kindergarten, kindergarten, kindergarten, kindergarten, kindergarten, clinic, fountain, food_court, post_box, food_court, restaurant, post_box, bench, bench, bench, charging_station, charging_station, charging_station, charging_station, charging_station, charging_station, charging_station, charging_station, charging_station, charging_station, charging_station, post_box, charging_station, charging_station, charging_station, vending_machine, vending_machine, recycling, pub, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, car_sharing, bench, bench, car_sharing, bench, bench, bench, bench, waste_basket, bench, waste_basket, waste_basket, waste_disposal, waste_basket, bench, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, bench, bench, bench, waste_basket, waste_basket, bench, waste_basket, waste_basket, bench, bench, waste_basket, bench, bench, waste_basket, waste_basket, waste_basket, bench, bench, waste_basket, waste_basket, recycling, vending_machine, vending_machine, recycling, vending_machine, recycling, vending_machine, vending_machine, vending_machine, vending_machine, bench, bench, fountain, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, car_sharing, toilets, atm, library, bench, bench, bench, bench, bench, bench, bench, parking_entrance, parking_entrance, dentist, fountain, bench, bench, bench, bench, bench, recycling, school, bench, bench, bench, bench, recycling, waste_basket, charging_station, recycling, charging_station, toilets, bicycle_parking, kindergarten, taxi, bicycle_parking, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, restaurant, bench, bench, cafe, restaurant, bicycle_parking, drinking_water, bicycle_parking, drinking_water, cafe"
"Kolk 172, 3011 MD Rotterdam",ChIJbY0fn1wzxEcRCGYhc0Mnzpo,"ice_cream, fast_food, cafe, cafe, restaurant, restaurant, restaurant, restaurant, restaurant, cafe, cafe, atm, cafe, fast_food, pub, pub, restaurant, taxi, restaurant, restaurant, restaurant, atm, cafe, restaurant, bar, restaurant, restaurant, restaurant, restaurant, pub, bar, restaurant, bar, fast_food, cafe, bar, restaurant, restaurant, restaurant, restaurant, fast_food, pub, parking, bar, restaurant, college, restaurant, cafe, casino, library, restaurant, restaurant, cafe, restaurant, fast_food, restaurant, ice_cream, restaurant, restaurant, fast_food, restaurant, townhall, restaurant, restaurant, restaurant, restaurant, restaurant, bar, fast_food, nightclub, cafe, restaurant, restaurant, pub, pub, pub, restaurant, cafe, restaurant, cafe, restaurant, cafe, bar, fast_food, fast_food, college, restaurant, restaurant, restaurant, fast_food, bar, restaurant, clinic, restaurant, bar, place_of_worship, cafe, restaurant, restaurant, pharmacy, veterinary, restaurant, post_box, restaurant, restaurant, fast_food, ice_cream, restaurant, cafe, toilets, atm, parking_entrance, parking_entrance, toilets, toilets, station, fast_food, restaurant, restaurant, restaurant, restaurant, restaurant, restaurant, fast_food, bar, restaurant, cafe, restaurant, fast_food, fast_food, fast_food, cafe, fast_food, fast_food, ice_cream, cafe, restaurant, restaurant, restaurant, restaurant, fast_food, restaurant, fast_food, restaurant, cafe, restaurant, cafe, food_court, restaurant, restaurant, post_box, charging_station, restaurant, atm, casino, post_box, vending_machine, vending_machine, vending_machine, post_box, pub, charging_station, bench, bench, bench, bench, theatre, cafe, charging_station, recycling, post_box, charging_station, post_box, charging_station, car_sharing, charging_station, charging_station, charging_station, restaurant, bench, bench, bench, bench, bench, bench, bench, parking, restaurant, parking_entrance, bench, bench, kindergarten, school, school, charging_station, clinic, bench, nightclub, clock, clock, clock, post_box, arts_centre, food_court, kindergarten, dentist, fast_food, restaurant, kindergarten, kindergarten, doctors, restaurant, training, fast_food, fast_food, charging_station, bench, parking_entrance, clock, parking, parking_entrance, parking_entrance, parking, parking_entrance, parking_entrance, parking, bench, bench, bench, dentist, bench, bench, bench, bench, bench, bench, bench, car_sharing, restaurant, parking_entrance, vending_machine, recycling, dentist, restaurant, restaurant, restaurant, restaurant, restaurant, restaurant, restaurant, bar, bar, restaurant, restaurant, bar, cafe, bar, restaurant, cafe, cafe, restaurant, restaurant, vending_machine, vending_machine, bench, bench, bench, bench, bench, bench, bench, bench, waste_basket, bench, waste_basket, waste_basket, bench, restaurant, bar, drinking_water, cafe, bench, bench, bench, bench, bench, bench, bench, bench, vending_machine, waste_basket, bicycle_parking, parking, restaurant, restaurant, restaurant, restaurant, bench, waste_basket, bar, bench, bench, recycling, waste_basket, waste_basket, bicycle_rental, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, fast_food, restaurant, fast_food, cafe, bench, recycling, bench, recycling, recycling, restaurant, bicycle_parking, toilets, bench, toilets, drinking_water, bench, bench, restaurant, cafe, parking_entrance, drinking_water, library, bench, waste_basket, bench, waste_basket, waste_basket, waste_basket, bicycle_parking, charging_station, charging_station, cafe, restaurant, bicycle_parking, bicycle_parking, bicycle_parking, bicycle_parking, bench, parking_entrance, parking_entrance"
